Sample	Ave_depth	Covered_perc_70-15
032i	75.5812	95.0781
053i	83.6499	95.0087
117	95.9453	95.1919
12.1.014	24.8184	94.6048
12.1.037	28.7968	94.0701
12.1.078	33.9387	95.3733
12.1.181	30.4092	95.3349
12.1.205	33.204	94.2995
12.1.225	27.7212	94.2759
12.1.234	31.263	94.9787
12.1.241	27.9219	94.5342
12.1.291	29.7994	94.1802
127	58.9605	94.5945
169	66.5772	94.6736
204	56.5684	94.3875
205	53.2565	94.3896
37	29.2048	93.847
B71	192.581	95.2348
BdBar16-1	65.1293	94.8007
Br116.5	37.0807	91.8018
Br118.2	29.0884	91.9444
BR32	35.0524	93.2815
Br48	79.3893	94.4447
Br7	39.9653	92.4772
Br80	62.6627	93.3347
BTBa-B1	101.817	95.9019
BTBa-B2	125.604	96.3697
BTGP1-b	159.336	96.1066
BTGS6e	140.972	96.008
BTGS6f	117.842	95.9584
BTGS6g	184.686	96.107
BTGS6h	199.902	96.1415
BTJP4-11	145.374	96.0698
BTJP4-12	224.219	96.1559
BTJP4-15	157.154	96.059
BTJP4-16	193.648	96.1436
BTJP4-18	128.761	96.0123
BTJP4-1	121.675	95.9139
BTJP4-2	106.728	95.8403
BTJP4-3	187.922	96.1623
BTJP4-5	106.067	95.9939
BTJP4-6	146.086	96.0748
BTJP4-9	225.824	96.1154
BTMP-S13-1	108.707	95.9273
BTMP-S13-2	287.353	96.5143
P29	110.807	94.5586
PY0925	105.222	95.2868
PY25.1	38.6108	95.1889
PY35.3	68.1857	93.9459
PY36.1	55.9641	94.1785
PY5003	55.568	94.7445
PY5033	52.4035	94.9403
PY5035	49.3289	94.6762
PY6017	49.9362	94.9666
PY6025	39.6686	94.5069
PY6045	92.1529	94.847
PY6047	24.4017	92.9598
T25	140.679	93.7758
ZMW18-06	46.1198	95.4252
ZMW18-08	48.843	95.3846
ZMW18-10	49.2702	95.2676
ZMW18-11	47.0859	95.2557
ZMW19-09	46.5355	95.3896
ZMW19-13	44.83	95.1867
ZMW19-17	50.5557	95.3698
ZMW20-03	41.296	95.1988
ZMW20-04	42.2344	95.1888
ZMW20-07	46.0357	95.4594
ZMW20-14	42.4127	95.2294
ZMW20-15	45.5436	95.3667
ZMW20-16	44.1748	95.1722
